sent_number 	 sentence
0 	 Central diabetes insipidus is a rare disease of the hypothalamus and neurohypophysis.
1 	 It is very unusually found in the adult with type 2 diabetes mellitus.
2 	 It is manifested by a polydipsic polyuric syndrome, which must be distinguished from the poorly controlled type 2 diabetes mellitus.
3 	 Given the similarity of both entities and the unusual nature of their coexistence, their suspicion is difficult.
4 	 The case of a 72-year-old male with type 2 diabetes mellitus with poor insulin control (fasting hyperglycemia greater than 180 mg/dl) who had a long-standing polyuric syndrome is here presented.
5 	 Hypernatremia and plasma osmolality elevated together with a low urinary osmolality led to the suspicion of diabetes insipidus, which was subsequently confirmed by the dehydration test and the administration of desmopressin sc.
6 	 With 61% increase in the calculated urinary osmolarity one hour post desmopressin s.c., diabetes insipidus of central type was diagnosed.
7 	 Nuclear Magnetic Resonance showed a bright spot with normal neurohypophysis, contributing to the diagnosis of the idiopathic form.
8 	 Pulmonary Langerhans cell histiocytosis is an uncommon diffuse cystic lung disease in adults.
9 	 In rare cases, it can involve extrapulmonary organs and lead to endocrine abnormalities such as central diabetes insipidus.
10 	 A 42-year-old man presented with polyphagia and polydipsia, as well as a dry cough and dyspnea on exertion.
11 	 Magnetic resonance imaging of the hypothalamic-pituitary system failed to show the posterior pituitary, which is a typical finding in patients with central diabetes insipidus.
12 	 This condition was confirmed by a water deprivation test, and the patient was also found to have type 2 diabetes mellitus.
13 	 Computed tomographic scanning of the lungs revealed multiple, irregularly shaped cystic lesions and small nodules bilaterally, with sparing of the costophrenic angles.
14 	 Lung biopsy through video-assisted thoracoscopic surgery revealed pulmonary Langerhans cell histiocytosis.
15 	 On a follow-up visit, only 1 year after the patient had quit smoking, clinical and radiological improvement was significant.
16 	 Here, we report an uncommon case of pulmonary Langerhans cell histiocytosis that simultaneously presented with diabetes insipidus and diabetes mellitus.
17 	 To report a case of Wolfram syndrome (WS) characterized by diabetes mellitus, diabetes insipidus, progressive optic atrophy, and deafness.
18 	 Under physiological conditions, fluid and electrolyte homoeostasis is maintained by the kidney adjusting urine volume and composition according to body needs.
19 	 Diabetes Insipidus is a complex and heterogeneous clinical syndrome affecting water balance and characterized by constant diuresis, resulting in large volumes of dilute urine.
20 	 With respect to the similarly named Diabetes Mellitus, a disease already known in ancient Egypt, Greece and Asia, Diabetes Insipidus has been described several thousand years later.
21 	 In 1670s Thomas Willis, noted the difference in taste of urine from polyuric subjects compared with healthy individuals and started the differentiation of Diabetes Mellitus from the more rare entity of Diabetes Insipidus.
22 	 In 1794, Johann Peter Frank described polyuric patients excreting nonsaccharine urine and introduced the term of Diabetes Insipidus.
23 	 An hystorical milestone was the in 1913, when Farini successfully used posterior pituitary extracts to treat Diabetes Insipidus.
