,Subject,Action,Object,Negation
0,who,underwent,LT,False
1,who,underwent,January,False
2,who,underwent,center,False
3,Patients,divided,seizures,False
4,Patients,divided,seizures,False
5,Seizures,occurred,children,False
6,factors,associated,seizures,False
7,factors,included,gender,False
8,LT,included,gender,False
9,analysis,showed,that,False
10,level,was,risk,False
11,factor,associated,seizures,False
12,who,experienced,seizures,False
13,children,survived,graft,False
14,level,was,factor,False
15,that,contributed,period,False
16,PELD,be,risk,False
17,scores,be,risk,False
